ID_Espacio_Verde,Nombre,Nombre_Mapa,Tipo_Espacio,Clasificacion_Original,Acceso,Direccion,Barrio,Comuna,Tiene_Patio_Juegos,Superficie_m2,Perimetro_m,Latitud,Longitud,Latitud_Centroide,Longitud_Centroide,Metodo_Coordenada,Flag_Centroide_Fuera_Geometria,Distancia_Centroide_Pin_m,Flag_Geometria_Reparada,Cantidad_Partes_Geometria,Flag_Revision_Manual,Motivo_Revision,Criterio_Inclusion,CRS_Coordenadas,Fuente_Archivo
1960,Plaza Cueca,Pza. Cueca,Plaza,PLAZA,No informado,BARRIO 31 MUGICA,Retiro,1,No informado,136.44737097909115,57.10934333893088,-34.5786008422,-58.3903306393,-34.5786008422,-58.3903306393,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1961,No informado,No informado,Plaza,PLAZA,No informado,BARRIO 31 MUGICA,Retiro,1,No informado,1380.119304794066,796.0059940464778,-34.5794463010,-58.3899444864,-34.5794463010,-58.3899444864,Centroide geométrico,0,0.00,0,15,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1978,Plaza Cesac n° 20 (no oficial),Pza. Cesac n° 20,Plaza,PLAZA,No informado,No informado,Flores,7,SI,199.0297058038782,148.57396034138404,-34.6492843697,-58.4380050198,-34.6492408821,-58.4380676368,Punto representativo interno del componente principal,1,7.50,0,3,1,La fuente indica que la denominación no es oficial,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1983,Plaza Mujeres Latinoamericanas en Lucha,Pza. Mujeres latinoamericanas en lucha,Plaza,PLAZA,No informado,BARRIO PLAYÓN DE CHACARITA: AV TRIUNVIRATO - MUJERES DE FRAGA - GUEVARA - ELCANO,Chacarita,15,No informado,839.2516351882591,358.58565230546026,-34.5844942540,-58.4601076019,-34.5844942540,-58.4601076019,Centroide geométrico,0,0.00,1,5,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1984,Plaza Ni una menos,Pza. Ni una menos,Plaza,PLAZA,No informado,BARRIO PLAYÓN DE CHACARITA: AV TRIUNVIRATO - MUJERES DE FRAGA - GUEVARA - ZABALA,Chacarita,15,No informado,929.2817842432221,371.6948606174984,-34.5844763504,-58.4593325477,-34.5844763504,-58.4593325477,Centroide geométrico,0,0.00,0,9,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1985,Plaza María Elena Moyano,Pza. María E. Moyano,Plaza,PLAZA,No informado,BARRIO PLAYÓN DE CHACARITA: AV TRIUNVIRATO - ZABALA - GUEVARA - CESPEDES,Chacarita,15,No informado,557.9149636843258,263.84005772074397,-34.5844819895,-58.4585948686,-34.5845463752,-58.4585020142,Punto representativo interno del componente principal,1,11.12,0,6,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1986,Plaza Blanca Varela,Pza. Blanca Varela,Plaza,PLAZA,No informado,BARRIO PLAYÓN DE CHACARITA: AV TRIUNVIRATO - TEODORO GARCIA - MERCEDES SOSA,Chacarita,15,No informado,1968.966747229217,821.7875451737787,-34.5854504424,-58.4568222874,-34.5854504424,-58.4568222874,Centroide geométrico,0,0.00,0,10,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1987,Plaza Mercedes Sosa,Pza. Mercedes Sosa,Plaza,PLAZA,No informado,BARRIO RODRIGO BUENO,Puerto Madero,1,SI,1232.6826082990372,419.906086685073,-34.6181833158,-58.3534027639,-34.6181833158,-58.3534027639,Centroide geométrico,0,0.00,0,17,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1988,Plaza Juana Azurduy,Pza. Juana Azurduy,Plaza,PLAZA,No informado,BARRIO RODRIGO BUENO,Puerto Madero,1,SI,871.7269154636932,384.5405522228509,-34.6178963149,-58.3541315968,-34.6178650227,-58.3542872953,Punto representativo interno del componente principal,1,14.69,0,12,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1989,Parque Estación Buenos Aires,Pque. Estación Buenos Aires,Parque,PARQUE,No informado,"BARRIO ESTACION BUENOS AIRES: MONASTERIO, ASTOR PIAZZOLLA, LUNA y AV SUAREZ",Barracas,4,SI,13552.97924354786,3446.180611376742,-34.6446638347,-58.3949620466,-34.6446638347,-58.3949620466,Centroide geométrico,0,0.00,0,24,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
