ID,Tipo_Transporte,Nombre,Corredor,Lineas,Lineas_Sentido,Direccion,Barrio,Comuna,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Duplicado
METROBUS_000346,Metrobus,No informado,No informado,130|24|22,130:I|24:V|22:I,1050 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.620018,-58.368366,0,0
METROBUS_000347,Metrobus,No informado,No informado,143|159,143:I|159:I,1021 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.619687,-58.368693,0,0
METROBUS_000348,Metrobus,No informado,No informado,8|22|86,8:V|22:V|86:V,1051 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.620001,-58.368607,0,0
METROBUS_000349,Metrobus,No informado,No informado,24|74|93,24:V|74:I|93:I,1071 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.620159,-58.368618,0,0
METROBUS_000350,Metrobus,No informado,No informado,93|74|33,93:V|74:V|33:V,1120 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.620875,-58.368253,0,0
METROBUS_000351,Metrobus,No informado,No informado,64|129|152|126,64:I|129:V|152:I|126:V,1150 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.621113,-58.368242,0,0
METROBUS_000352,Metrobus,No informado,No informado,61|152,61:I|152:V,1121 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.620861,-58.368462,0,0
METROBUS_000353,Metrobus,No informado,No informado,29|64|130,29:V|64:V|130:V,1151 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.621135,-58.368441,0,0
METROBUS_000354,Metrobus,No informado,No informado,33|129,33:I|129:I,1351 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.623356,-58.368269,0,0
METROBUS_000355,Metrobus,No informado,No informado,143|62|29,143:V|62:I|29:I,1420 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.624305,-58.367713,0,0
METROBUS_000356,Metrobus,No informado,No informado,24|22|4,24:V|22:I|4:No informado,1450 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.62469791,-58.36774152,0,0
METROBUS_000357,Metrobus,No informado,No informado,93|74|33,93:V|74:V|33:V,1520 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.625406,-58.367842,0,0
METROBUS_000358,Metrobus,No informado,No informado,152|86|64,152:I|86:I|64:I,1550 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.626035,-58.367845,0,0
